7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?	THE SIMPSONS MOVIE
Especially used at airports,SPDT is a security program that stands for “Screening of Passengers by” what?	OBSERVATION TECHNIQUES
Established in 1867, the Marquess of Queensberry Rules set the modern framework for what sport?	BOXING
Established in 1954, what Rhode Island city hosts a well-known jazz music festival every summer?	NEWPORT
Established in 1990, the James Beard Foundation Awards recognizes excellency in which of these fields?	CUISINE
Established in 1996,an emergency response bulletin issued upon the suspected abduction of a child is known as a what?	AMBER ALERT
Estro-Logic is the name of an herb supplement that markets itself towards what demographic?	MENOPAUSAL WOMEN
Eva Longoria once sadly noted that the only bilingual cartoon character of her youth was who?	SPEEDY GONZALES
Even though he is a famous teetotaler,which of these celebrities launched his own brand of vodka in 2006?	DONALD TRUMP
Even though he is a fish,StarKist’s “hipster” mascot Charlie the Tuna is usually depicted wearing what?	RED BERET AND GLASSES
Even though he’s deceased,what actor has appeared on every Harris Poll for America’s Favorite Actor since 1994?	JOHN WAYNE
Every January,college football’s Sugar Bowl takes place in what U.S. city?	NEW ORLEANS
Every year McDonald’s offers its popular Shamrock Shake for a limited time during what month?	MARCH
Every year on March 31st,California observes Cesar Chavez Day to honor the birth of a famous what?	LABOR LEADER
Evite is a popular website for people planning to do what?	THROW A PARTY
Excluding the two-part series finale,what long-running sitcom’s episode titles all started with “The One…”?	FRIENDS
Experts suggest rubbing your hands against stainless steel to chemically neutralize the smell of what household odor?	GARLIC
Explicitly taking on the iphone, in 2009 Motorola released a smartphone with which futuristic name?	DROID
Exposure to sunlight would most likely help to cure a person suffering from which of these conditions?	SEASONAL AFFECTIVE DISORDER
Falafel,a popular Middle Eastern dish,is usually made by grinding and frying what?	CHICKPEAS
Famed Spanish shoe designer Manuel Blahnik is better known by what nickname?	MANOLO
Familiar to film buffs,Sunset Boulevard borders which of these prominent college campuses?	UCLA
Familiar to viewers of Fox football broadcasts, the computer-animated mascot “Cleatus” is a what?	ROBOT
Famous for his attempts to predict the future,16th-century physician Nostradamus hailed from what country?	FRANCE
Famous for his deadpan line “Bueller…..Bueller,” Ben Stein is given what title in the credits for “Ferris Bueller’s Day Off”?	ECONOMICS TEACHER
Famous for his namesake “curl”,how do you spell the nickname of hairdresser and chemist Robert Redding?	JHERI
Famous for its 18th-century architecture,the historic neighborhood “Society Hill” lies in what city?	PHILADELPHIA
Famous for playing a butcher, what eccentric actor has taken time off to work as a cobbler?	DANIEL DAY-LEWIS
Famous for playing a butcher,what eccentric actor has taken time off to work as a cobbler?	DANIEL-DAY LEWIS
Famous for playing sneering villains,which of these British actors appeared in his first-ever film role at the age of 42?	ALAN RICKMAN
Famous for the lifesaving maneuver named after him, Henry J. Heimlich was what type of doctor?	THORACIC SURGEON
Famous in her own right, handbag designer Kate Spade has a famous brother-in-law named David, who is a what?	COMIC
Famous siblings Rosanna,David,Patricia and Alexis are all Hollywood actors with what last name?	ARQUETTE
Far lighter than lead, what electron-rich metal does Chevrolet use for the batteries in its Volt car?	LITHIUM
Fashionistas often use cosmetics to achieve a common and coveted look known as “smoky” what?	EYES
Featured in a 1990s Beck song,what is the translation of the Spanish lyric “Soy un perdedor”?	I’M A LOSER
Featured in Madonna’s 1998 video “Frozen,” mehndi are temporary henna tattoos traditionally placed where?	HANDS & FEET
Featured in the popular Chinese dish lo mein, “mein” means what in Chinese?	NOODLES
Featured in working mother’s list of “Most Powerful Moms in Sports,” Dara Torres is a well-known what?	SWIMMER
Featured on a jokey apron,”Dijon Vu” is defined as “the feeling that you’ve had this” what “before”?	MUSTARD
Featured on light bulb packages,what unit of measure is defined as the amount of light emitted by one candle?	LUMEN
Featured on the Shakespeare family coat of arms,the French motto “Non sans droit!” means “not without” what?	RIGHT
Featuring a high,prominent bridge,an aquiline nose is better known as a what?	ROMAN NOSE
Featuring a nod to his company’s name, “Losing My Virginity” is the title of what entrepreneur’s memoir?	RICHARD BRANSON
Featuring an emotional scene set a potter’s wheel,a musical based on what movie opened in London in 2011?	GHOST
Featuring Betty White,what organization launched its irrelevant “Get Over It!” ad campaign in 2011?	AARP
Featuring men who agree to murder to help one another,the 2011 comedy “Horrible Bosses” echoes what Hitchcock film?	STRANGERS ON A TRAIN
Fela kuti is credited with creating what genre of “world music”?	AFROBEAT
Filled with warm, slightly salty water, a neti pot is used for treating what common condition?	SINUSITUS
Films like “Avatar” use what technology,where sensors are placed on an actor’s body to record their movements digitally?	PERFORMANCE CAPTURE
Finally closed in 2010, Chicago’s notorious Cabrini-Green housing projects were the setting of what ’70s sitcom?	GOOD TIMES
First enjoyed in 1949, which candy brand was created by Bill and Dorothy Harmsen in Golden, Colorado?	JOLLY RANCHER
First found in the U.S. in 1999,West Nile virus is primarily transmitted by what?	MOSQUITOES
First Lady of France Carla Bruni-Sarkozy plays a museum tour guide in whose 2011 film “Midnight in Paris”?	WOODY ALLEN
First used to describe certain jazz fans in the ’40s,what term now refers to irony-loving youngsters?	HIPSTER
Fitting for a devout Baptist and Sunday school teacher,”Deacon” was the Secret Service code name for what president?	JIMMY CARTER
Fittingly, John Deere round balers and square balers do what?	GATHER HAY
Fittingly, the Liberty Bell is featured in the logo of what Major League Baseball team?	PHILADELPHIA PHILLIES
Fittingly, the World Potato Congress was held in the U.S. for the first time in 2006 in what U.S. state capital?	BOISE
Fittingly, what world landmark boasts a feature known as “The Tsar’s Tower?”	THE KREMLIN
Fittingly, “Georgia On My Mind” is the theme song to which of these classic TV shows?	DESIGNING WOMEN
Fittingly,the Atlanta-Fulton Public Library displays the typewriter used to write what classic novel?	GONE WITH THE WIND
Fittingly,the entrance to Colorado’s state capitol building features the phrase “One Mile Above” what?	SEA LEVEL
Fittingly,the first Filene’s Basement was located below a store called Filene’s in what big city?	BOSTON
Fittingly,the online retailer Zappos adapted its name from “zapatos,” the Spanish word for what?	SHOES
Fittingly,what man-made fabric derived its name by rearranging the letters in the word “expands”?	SPANDEX
Fittingly,which of these popular 20th century authors is buried in Tarzana,California?	EDGAR RICE BURROUGHS
Five different yellow Volkswagen buses were used in the filming of which of these road trip movies?	LITTLE MISS SUNSHINE
Fleur de sel is an expensive type of what?	SALT
Fluent in French, what actress often dubs her own lines for the French language versions of her films?	JODIE FOSTER
Foam Hands is a company that encourages it’s customers to wear gear at which of the events?	Football Games
Following a highly public scandal,Tiger Woods returned to pro golf in 2010 at what tournament?	THE MASTERS
Following a September Harvest Moon,the full moon in October is commonly known as what?	HUNTER’S MOON
Following China,India and the United States,what country has the world’s fourth largest population?	INDONESIA
Following suit with Princess Diana,Kate Middleton omitted what word from her wedding vows to Prince William?	OBEY
Following up on the lives of Rick and Ilsa, the 1998 novel “As Time Goes By” is a controversial sequel to what film?	CASABLANCA
Foods that are high in fiber contain a complex carbohydrate indigestible to humans called what?	CELLULOSE
Footrests are common features on which of these children’s toys?	POGO STICKS
For a 1967 “Ed Sullivan Show” stint,The Doors were asked to change an indecent lyric in what song?	LIGHT MY FIRE
For a holiday promotion, TravelLodge offered a free “room at the inn” for couples whose first names were what?	MARY AND JOSEPH
For half a century,Mister Softee trucks have driven America’s streets playing music and peddling what?	ICE CREAM
For his significant contribution to the genre, author Zane Grey is often called the “father of the” what?	WESTERN NOVEL
For his skill at playing his instrument of choice,legendary bandleader Artie Shaw was dubbed the “King of the” what?	CLARINET
For many years, which of these snack foods promoted itself as “the cheese that goes crunch”?	CHEETOS
For many years,which of these TV journalists was suspected of being the Watergate informant known as Deep Throat?	DIANE SAWYER
For most of his 40-year run as the Today show’s film critic,Gene Shalit sported which of these looks?	BOW TIE, BUSHY MUSTACHE
For most of the 1988 movie “Working Girl,” Melanie Griffith’s character had what occupation?	SECRETARY
For over 100 years,the dreaded woll beevil was a scrooge to which of these U.S. crops?	COTTON
For over 30 years,United Airlines’ ad slogans urged travelers to fly what kind of skies?	FRIENDLY SKIES
For over 60 years,which of these retailers featured an annual “Running of the Brides” wedding dress sale?	FILENE’S BASEMENT
For over a century,the New Year’s Day Tournament of Roses Parade has taken place in what U.S. city?	PASADENA, CA
For reasons that should be clear to math enthusiasts,April 16th is the official “holiday” of what popular website?	FOURSQUARE
For seven seasons,TV’s “Gilmore Girls” featured a fast-talking mother and daughter who shared what name?	LORELAI
For several seasons, Jillian Michaels and Bob Harper have helped contestants on what reality TV show?	THE BIGGEST LOSER
For several years,the male dancing company Chippendales has tried to copyright what signature look?	CUFFS & COLLAR
For shoppers on a budget,Designer Imposters is a brand providing knockoffs of what luxury item?	FRAGRANCE
For the most part,what imaginary geographical line follows the 180th meridian?	INTERNATIONAL DATE LINE
For those seeking more bang for your bite,the larger version of the pasta tortellini is called what?	TORTELLONI
For years, Conan O’Brien has poked fun of his decidedly unhip car, a 1992 what?	FORD TAURUS
For years, the Slim-Fast slogan was a “shake for breakfast, a shake for lunch, and then a ” what for dinner?	SENSIBLE DINNER
For years, the “Today” Show’s Willard Scott has wished centenarians happy birthday on a segment sponsored by whom?	SMUCKERS
For years,the now-defunct Weekly World News tabloid captivated readers with ongoing stories about what creature?	BAT BOY
For years,what long-running TV show used a theme song aptly titled “Johnny’s Theme”?	THE TONIGHT SHOW
Forensics investigators often use “dactyloscopy,” a method of identifying people using what unique trait?	FINGERPRINT PATTERN
Forget-me-not flowers are typically a shade of what color?	BLUE
Formed in 1998, 30 Seconds to Mars is a Los-Angeles based rock band led by what actor?	JARED LETO
Former energy company Enron originally held what name,before realizing the word meant “intestine”?	ENTERON
Former House speaker Newt Gingrich once stated in an interview that he thought what actor should play him in a movie?	BRAD PITT
Former model Padma Lakshmi began hosting what popular reality competition series in 2006?	TOP CHEF
Former pro hockey player Tim Horton lent his name to a popular fast food franchise specializing in what?	DOUGHNUTS
Former rapper Vanilla Ice stars in a reality show that follows his current career doing what?	REMODELING HOMES
Former Secretary of State Henry Kissinger was born in what country?	GERMANY
Formerly known as Sleuth, Cloo is a cable TV channel dedicated to what genre of programming?	MYSTERY
Fought over for decades, what Mediterranean island speaks Greek in its southern half and Turkish up north?	CYPRUS
Found at a German zoo,Eclyse the “zorse” is a half-horse hybrid animal with what distinctive markings on her coat?	BLACK AND WHITE STRIPES
Found in Asia and Africa,jackals belong to the same family as what domesticated animals?	DOGS
Found mostly in Asia,the macaque is a type of what animal?	MONKEY
Founded in 1856, the Wurlitzer Company is famous for producing which of these items?	JUKEBOXES
Founded in 1868, Martinelli’s is a California-based company best known for producing what?	SPARKLING CIDER
Founded in 1881, the Wharton School is a prestigious business school at what university?	UNIVERSITY OF PENNSLYVANIA
Founded in 1958, the FAA is a government agency controlled by what U.S. department?	TRANSPORTATION
Founded in 1963, the letters in the national drugstore chain CVS stand for what?	Corrective Vaccine Salves
Founded in 1968, what is the company J.D. Power and Associates best known for providing?	CUSTOMER SATISFACTION DATA
Founded in 1972,Scantron Corporation is best known for its products that do what?	GRADE TESTS
Founded in 1984, what natural food brand bills itself as “7 Whole Grains on a Mission”?	KASHI
Founded in 1999,Edible Arrangements specializes in edible “bouquets” primarily made of what?	FRESH FRUIT
Founded in Jamaica, the Rastafari religion was popularized by what famous iconic musician?	BOB MARLEY
Founded in London in 1766,Christie’s is one of the world’s oldest what?	AUCTION HOUSES
Founded in Pennsylvania in 1829,what brand of beer claims to be from “America’s Oldest Brewery”?	YUENGLING
French Impressionist Edgar Degas is famous for his paintings and sculptors depicting what performers?	BALLET DANCERS
Fresh blueberries grown in the U.S. are typically in season during which of these months?	JULY
From 1856 until 1939, the country of Thailand was officially known as what?	SIAM
From 1883 until the 1950s what country claimed Vietnam as a country?	FRANCE
From 1898 to 1901, what country experienced a popular uprising known as the Boxer Rebellion?	CHINA
From 1916 to 2001,the Boeing aircraft company was headquartered in what city?	SEATTLE
From 1948 to 1956,Americans’ growing taste for pizza sparked an increase in sales of what herb?	OREGANO
From 1967-1989, Jesse White played what advertising icon?	MAYTAG REPAIRMAN
From 2005 to 2011,actor Steve Carell played Michael Scott on what popular TV sitcom?	THE OFFICE
From a Sanskrit phrase meaning “one with great measure,” a mahout is a driver of what kind of animal?	ELEPHANT
From a word meaning “to sit”, a seance is a gathering at which people attempt to do what?	SPEAK WITH THE DEAD
From Earth, Mars appears to be what shade of color?	RED
From the French for “half-cup,” a demitasse is commonly a small serving of what?	COFFEE
From what country’s controversial court case did the phrase “a dingo’s got my baby” originate?	AUSTRALIA
Garbanzo beans are also known by what name?	CHICKPEAS
Generally speaking,the difference between a liquor and a liqueur is that a liqueur is what?	SWEETENED
Generally speaking,which of these U.S. cities is pronounced with a “z” sound by outsiders and an “s” sound by locals?	BOISE
George A. Romero’s classic “Night of the Living Dead” series popularized what movie monsters?	ZOMBIES
George Bernard Shaw once humorously defined what activity as “the vertical expression of horizontal desire”?	DANCING
George H.W. Bush’s presidential library is located on the campus of what Texas university?	TEXAS A&M
George Orwell’s autobiographical 1938 book “Homage to Catalonia” opens with Orwell in what European city?	BARCELONA
George Steinbrenner,the legendary owner of the NY Yankees,made his fortune in what industry?	SHIPPING
George W. Bush gets his middle name, “Walker,” from which of his relatives?	PATERNAL GRANDMOTHER
Giving her a radiant halo called an “aureole,” how many rays shoot out from the Statue of Liberty’s crown?	SEVEN
Giving it the scientific name of Leviathan melvillei,researchers recently discovered the bones of a prehistoric what?	WHALE
Golden-voiced Julie Andrews won her only Oscar for her work in what movie musical?	MARY POPPINS
Grammatically speaking,which of these reality TV show titles is an imperative statement?	SAY YES TO THE DRESS
Grammy-winning country music star Judith Newton rose to fame in the ’80s with what nickname?	JUICE NEWTON
Great Britain’s Chancellor of the Exchequer is the equivalent to what U.S. cabinet position?	SECRETARY OF THE TREASURY
Greater New York City is often called the “Tri-state area,” a term that refers to New York,New Jersey and what third state?	CONNECTICUT
Gregory Maguire’s 2003 novel “Mirror Mirror” is a revisionist version of what classic fairy tale?	SNOW WHITE
Groundhogs are also commonly known as what?	WOODCHUCKS
growing spa treatment service, thermal-auricular therapy is better known by what name?	EAR CANDLING
Grown and cultivated from the Yerba mate plant,mate is a South American variety of what beverage?	TEA
Gun-control advocate James Brady once held what position in the Reagan administration?	PRESS SECRETARY
Hailed as a must-have for new parents, “Sophie” is a French-made baby’s chew toy in the shape of what animal?	GIRAFFE
Hailed as a super-food, the much-hyped acai berry is harvested in which of these countries?	BRAZIL
Hailing from Spain,what pro tennis player uses a logo that resembles a bull?	RAFAEL NADAL
Haley’s comet, which last appeared in and will next return in 2061, takes how long to orbit the sun?	75 YEARS
Harpo,Oprah’s production company,shares its name with a character from a novel by what author?	ALICE WALKER
Harvest gold and “avocado green” were trendy colors for kitchen appliances during what decade?	1970S
Haskell Opera House has its stage in Quebec, Canada, while most of its audience members sit in what state?	VERMONT
Having nothing to do with their political views, what sport features players labeled as right and left wing?	HOCKEY
Hawaiian for “quick,” what word describes a web page that can be edited by many people?	WIKI
he 2010 film “The Last Play at Shea” examines the history of a stadium and former home of what team?	NY METS
he political Web site Huffingtonpost.com was founded in 2005 by a writer with what first name?	ARIANNA
he popular Ed Hardy line of clothing is named after a person with what profession?	TATTOO ARTIST
Headlines exclaimed “Aack!” when it was announced that what long-running comic strip would end in 2010?	CATHY
Headlines quipped, “Mr. & Mrs. Smith Go To Washington,” reporting on a 2012 White House visit by what celeb couple?	BRAD PITT & ANGELINA JOLIE
Headlines read “Deja Blue” after what NFL team scored a second Super Bowl win over the Patriots in 2012?	NEW YORK GIANTS
Headquartered in Cupertino,what tech company offers “Cupidtino,” an online dating site that connects fans of its products?	APPLE
Heard in the expression, “That really sticks in my craw,” a “craw” is literally a what?	BIRD’S THROAT
Held in New York, “Night of a Thousand Stevies” is a fan festival honoring what band’s former lead singer?	FLEETWOOD MAC
Helping campus-bound kids since 1996,which bit of numerical jargon is a tax-friendly college savings plan?	529
Helping people cope with the current economy,The Recessionista blog primarily covers what area of interest?	FASHION
henille, a soft, fuzzy fabric, is aptly named for the French word for what bug?	CATERPILLAR
Henry Ford built a replica of Thomas Edison’s famous Menlo Park labaratory in what Midwestern city?	DEARBORN, MI
Henry Heimlech,the doctor famous for his life-saving maneuver,is the cousin of an actor famous for what sitcom character?	“POTSIE” WEBER
Henry VIII belonged to what royal family?	TUDOR
Hidden in the word “mosquito” is the name of the capital city of what South American country?	ECUADOR
Hidden in the word “mosquito” is the name of the capital city of what South American country?	ECUADOR
Hillary Clinton’s 1996 bestseller was based on the African proverb “It takes a whole village to” do what?	RAISE A CHILD
Hirsutism is a medical condition common among which of these circus performers?	BEARDED LADIES
Historian Edward Gibbon is best known for his six-volume account of the “Decline and Fall” od what empire?	ROMAN
Hollywood’s favorite time of year,which of these months falls within a period known as “awards season”?	FEBRUARY
Hollywood’s star-studded Walk of Fame is centered at the famous intersection of Hollywood Blvd and what?	VINE
Home of “Clawed the Eagle,” American University is a private school located where?	WASHINGTON, D.C.
Home to a 5,000-year-old stone circle,the Hebrides islands are located off the coast of what country?	SCOTLAND
Home to a famous breed of tiger,Bengal is a region located in what part of the world?	SOUTH ASIA
Home to a large global banking industry, Zurich is the most populated city of what country?	SWITZERLAND
Home to the National Christmas Tree,the park area directly south of the White House is known as what?	THE ELLIPSE
Honolulu,the capital city of Hawaii,is located on which of its islands?	OAHU
Honored by the Kennedy Center in 2003, Itzhak Perlman is a world-renowned player of what musical instrument?	VIOLIN
Horn and Fishbacher are the last names of what famous duo?	SIEGFRIED AND ROY
Hosted by Don Francisco since 1962,the variety show “Sabado Gigante” fittingly airs on what day of the week?	SATURDAY
How many basic positions of the feet are there in traditional ballet?	FIVE
How many calories does a person have to burn to lose one pound of fat?	3,500 *CORRECT*
How many emirates, or territories, comprise the Middle Eastern territory known as United Arab Emirates?	7
How many episodes of the “real-time” TV series “24” would it take to depict the events of a single week?	168
How many fluid ounces are in a pint?	16
How many issues would a subscriber to both USA TODAY and Texas Weekly get in one calendar year?	64
How many numbers between ten and twenty have names that end with the suffix “-teen?”	7
How many prime numbers are there between 1 and 20?	8 *CORRECT*
How many queens does a typical honeybee nest have at any one time?	ONE
How many seconds are in one hour?	3600
How many total ribs are there in the human rib cage?	25
How many total ribs are there in the human rib cage?	24
How many U.S. presidents have had sons who also served as U.S. president?	2
How many workers sit on a steel beam hundreds of feet in the air in the iconic 1932 photo “Lunch Atop a Skyscraper”?	11
How many years after the Civil War did WWII end?	80
How many years transpired between the publication of George Orwell’s “1984” and the year 1984?	35
How old was Thomas Jefferson when he drafted the Declaration of Independence?	33 *CORRECT*
Icebreakers are ships often used to navigate which of these parts of the world?	ARCTIC OCEAN
If 10-year-old Bart Simpson had aged since the show’s premiere,in what year would he have reached drinking age in the U.S.?	2000 *CORRECT*
If a gross is equal to 144 units,how many units are in a dozen gross,also known as a “great gross”?	1728 *CORRECT*
If a group of people does something “en masse,” how are they doing it?	IN UNISON
If a man’s shirt size is 16-32/33,the “16” is a measurement of what?	CIRCUMFERENCE OF NECK
If a person has blue eyes, it is because what part of his eyes are blue?	IRIS
If a person was born in 1991, what birthday did they celebrate during the palindromic year?	11TH
If a woman making 50,000 dollars a year gets a 20% raise, what is her new annual salary?	$60,000
If a woman walks 10,000 feet,how many more feet does she have to walk to go a distance of two miles?	560
If an “n” is added to the end of it, what zodiac sign becomes the name for the animal that symbolizes it?	SCORPIO
If Blue from “Blue’s Clues” and Clifford the Big Red Dog had a puppy,what color would it most likely be?	PURPLE
If each can contains 12 ounces, what is the total volume of liquid in a six-pack of beer?	72 OUNCES
If every U.S. Senator had the floor for 3 minutes, how many total hours of speaking would ensue?	5
If he lived in ancient Rome, what superhero might have gone by the name “Homo Ferreus”?	IRONMAN
If hot dogs come in 10-packs and buns in 8-packs, which of these combos will have an equal amount of franks and buns?	4 HOT DOG PACKS, 5 BUN PACKS
If it could talk, the traditional animal symbol of the Democratic Party would most likely say what?	HEE-HAW!
If it were an actual pole,the axis around which the Earth spins would pass through what continent?	ANTARCTICA
If someone is not familiar with another person,he might say “I don’t know him from” whom?	ADAM
If someone were to describe Nicolas Cage as “cagey,” they might mean that he is what?	SHREWD
If the countries were represented by their national flowers, what would be the 2010 World Cup final match up?	RED CARNATIONS VS. TULIPS
If the Gettysburg Address were delivered in 2012,”four score and seven years ago” would refer to what year?	1925 *CORRECT*
If the Gettysburg Address were delivered today in 2011, “Four score and seven years ago” would refer to what year?	1924
If the Gettysburg Address were delivered today in 2011, “four score and seven years ago” would refer to what year?	1924 (C)
If the Indy 500 were “converted” from miles to kilometers,it would be called the what?	INDY 805
If the singer Davy Jones had a locked actually located in “Davy Jones’s locker,” where would it be?	AT THE BOTTOM OF THE SEA
If the “OctoMom” Nadya Suleman had birthed one more child,she might have been called the what?	NONAMOM
If there are 8 bits in a byte, then how many bytes are in a bit?	0.125
If they were actual members of the U.S. Army,which of these characters would hold the highest rank?	COLONEL SANDERS
If tripe is on the menu for dinner,which of the following might you have the pleasure of eating?	COW STOMACH
If you are traveling on an airplane that has a cruising altitude of 30,000 feet,about how many miles are you above the Earth?	5.7 *CORRECT*
If you burn off 500 more calories than you consume each day,how long should it take for you to lose one pound?	SEVEN DAYS
If you counted them, which of the following would total 36, 525?	DAYS IN A CENTURY
If you had one of each of the 50 U.S. commemorative quarters, how much money would you have?	$12.50
If you have four shirts and three pairs of pants, how many unique ensembles can you put together?	TWELVE
If you rearrange the letters in Meg Ryan’s name,you can form the name of a European country that has what capital?	BERLIN
If you wanted to visit the “Geographic Center of North America,” you’d have to go to what U.S. state/	NORTH DAKOTA
If you “throw brickbats” at someone, it means you are doing which of these things?	CRITICIZING THEM
If your astrological sign is the one that comes first alphabetically,then when is your birthday?	JANUARY OR FEBRUARY
If your astrological sign is the one that comes first alphabetically,then when is your birthday?	JANUARY OR FEBRUARY
If “ASAP” is too long, text messengers can type what three- letter abbreviation to mean “immediately”?	PDQ
ILM, the special effects company founded by George Lucas, stands for Industrial Light and what?	MAGIC
Immortalized by The Beatles, Abbey Road is a famous street in what European city?	LONDON
Important for ad rates, TV programming in Feb, May, July, and November has what special name?	SWEEPS
Important for its use in fertilizer, ammonia is a compound made from hydrogen and what other element?	NITROGEN
Important for proper feng shui,which home improvement item comes in “right-handed” and “left-handed” versions?	DOOR
Important in South American cuisine, which of these foods has been called “the supergrain of the future?”	QUINOA
In a cliche scene from many Westerns, gunslingers meet for a final showdown when?	HIGH NOON
In 1587, Mary Queen of Scots was beheaded for her part in a plot to assassinate which British monarch?	ELIZABETH I
In 1587, what family gave birth to Virginia, the first English child born in the Americas?	THE DARES
In 1667, the Dutch traded Manhattan for the tiny Indonesian island of Rum, valuable for its abundance of what spice?	NUTMEG
In 1820,Maine became the 23rd state in the Union by separating from what other state?	MASSACHUSETTS
In 1835, Charles Darwin spent five weeks observing the indigenous life on what chain of islands?	THE GALAPAGOS ISLANDS
In 1839,what inventor first vulcanized rubber?	CHARLES GOODYEAR
In 1844,the independent candidate Joseph Smith,Jr. became the first what to run for president?	MORMON
In 1849,mounting debt forced what French author to sell his famed castle,the Chateau de Monte-Cristo?	ALEXANDRE DUMAS
In 1865, John Stetson introduced a now-famous version of what type of hat?	COWBOY HAT
In 1872,an act of Congress established what as America’s first official national park?	YELLOWSTONE
In 1872,Susan B.Anthony was arrested in Rochester,New York,for illegally doing what?	VOTING
In 1876, what inventor uttered the now-famous words, “Mr. Watson, come here, I want to see you” ?	ALEXANDER GRAHAM BELL
In 1881,the infamous Gunfight at the O.K. Corral took place in a city that is now part of what state?	ARIZONA
In 1884,brothers Al,Otto,Charles,John,and Alf Ringling founded a famous what in Baraboo,WI?	CIRCUS
In 1885, what popular soft drink was invented at Morrison’s Old Corner Drug Store in Waco, TX?	DOCTOR PEPPER
In 1898,Swiss businessman Cesar Ritz established a now-famous what in Paris?	HOTEL
In 1902,nine motor clubs merged to form a nonprofit organization currently known by what name?	AAA *CORRECT*
In 1903,the International Brotherhood of Teamsters was formed to help persons who did what?	HAULED LOADS
In 1909, who became the first President to be depicted on a circulating U.S. monetary coin?	ABRAHAM LINCOLN
In 1918, William L. Murphy invented a stow-away version of what piece of furniture?	BED
In 1926,Adriano,Marcello,and Bruno Ducati founded a firm today known for manufacturing what?	MOTORCYCLES
In 1927,Charles Lindbergh flew the first solo,non-stop transatlantic flight aboard what aircraft?	SPIRIT OF ST.LOUIS
In 1928, anthropologist Margaret Mead published her landmark study titled “Coming of Age in” what country?	SAMOA
In 1930, Herman Fisher and Irving Price became the namesakes for a famous brand of what?	CHILDREN’S TOYS
In 1935,what accounting firm began its long-running tradition of tallying votes for the Academy Awards?	PRICE WATERHOUSE
In 1939,Bill Hewlett and Dave Packard founded a company that today specializes in making what?	COMPUTER EQUIPMENT
In 1945,what food became the first to be intentionally microwaved?	POPCORN
In 1946, the John Oster Manufacturing Company introduced the Osterizer, a popular brand of what?	BLENDER
In 1948, a Chicago paper ran the famously incorrect headline “Dewey Defeats Truman” on the third of what month?	NOVEMBER
In 1950,Senator Joe McCarthy became the central figure in a national crusade known as the what?	RED SCARE
In 1955,Rosa Parks made history when she refused to give up her seat on a public bus in what city?	MONTGOMERY,ALABAMA
In 1955,the novel “The Year the Yankees Lost the Pennant” was turned into a Broadway musical with what title?	DAMN YANKEES
In 1956, Chuck Williams opened the first WIlliams-Sonoma store in what state?
In 1956,Chuck Williams opened the first Williams-Sonoma store in what U.S. state?	CALIFORNIA
In 1959, Travelers Insurance began featuring what red item as part of its logo?	UMBRELLA
In 1960, Mount Everest explorer Sir Edmund Hillary led an expedition to find what mythical creature?	ABOMINABLE SNOWMAN
In 1960,Mattel introduced a popular “talking” doll named what?	CHATTY CATHY
In 1965,former test pilot Owen Maclaren patented a prototype of the B-01,the basis for a popular line of what?	BABY STROLLERS
In 1966, rock guitarist James Hendrix officially changed the spelling of his first name to what?	JIMI
In 1968, what star of “Planet of the Apes” turned heads with what’s billed as the first ever himan-ape movie kiss?	CHARLTON HESTON
In 1969, the Apollo 11 lunar module landed on a region of the moon named “Sea of” what?	TRANQUILITY
In 1971 cult classic, what does an older woman say to a younger man when he says, “I love you Maude”?	I LIKE YOU HAROLD
In 1971,in an effort to bolster relations,a team of U.S. athletes was invited to China to compete in what sport?	PING-PONG
In 1971,The NY Times published excerpts of top-secret Vietnam War documents commonly known as what?	PENTAGON PAPERS
In 1972,what organization’s office was the site of a famous break-in at the Watergate hotel?	THE DEMOCRATIC PARTY
In 1973,Bjorn Jakobson founder of the BabyBjorn company,invented a revolutionary product that helps parents do what?	CARRY BABIES
IN 1975, Wally Adams became famous for making what type of snack food?	CHOCOLATE CHIP COOKIES
In 1978, an all-male rock band released an album titled “Q: Are We Not Men? “A: We Are” who?	DEVO
In 1979,a Florida restaurateur founded the Boca brand,starting with a line of meatless what?	BURGERS
In 1983,February 11th was declared “National Inventors’ Day,” fittingly the birthday of what great American?	THOMAS EDISON
In 1984 David Stern became the commissioner of what sport’s professional league?	BASKETBALL
In 1984, the NBA Championship Trophy was renamed to honor what legendary NBA Commissioner?	LARRY O’BRIEN
In 1984,Huey Lewis sued Ray Parker,Jr.,claiming his theme song for “Ghostbusters” was a rip-off of which hit?	I WANT A NEW DRUG
In 1984,Michael Larson racked up $110,237 in winnings by memorizing the patterns on what game show’s Big Board?	PRESS YOUR LUCK
In 1985, Alexa Ray Joel was born to two famous people with what occupations?	SUPERMODEL and SONGWRITER
In 1985, what product’s notoriously unsuccessful “New” formula was introduced to the public?	COCA COLA
In 1985,the word “Classic” was added to what soft drink’s label,where it remained for many years?	COCA-COLA
In 1986, what media mogul caused a stir when he released a list of over 100 films he planned to colorize?	TED TURNER
In 1986,over 100 tons of what product were used to clean the inner copper walls of the Statue of Liberty?	ARM & HAMMER BAKING SODA
In 1987,what Beatles song was banned by the BBC because of its lyric “I’d love to turn you on”?	A DAY IN THE LIFE
In 1988,midwesterners Mark Badgley and James Mischka joined forces to become famous names in what industry?	FASHION
